Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1769.786532","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","35","Cabo Verde","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","1976.814723","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","115","Cambodge","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","22177.200589","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","115","Cambodge","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","24571.753582","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","32","Cameroun","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","35009.259798","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","32","Cameroun","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","38694.159761","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","33","Canada","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1650187.053777","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","33","Canada","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","1712562.076052","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","40","Chili","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","277746.461078","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","40","Chili","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","298231.133533","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","341684.919642","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","362682.018243","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","50559.425547","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","128","Chine - RAS de Macao","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","54545.134154","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","12143572.144807","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","41","Chine, continentale","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","13608151.864732","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","50","Chypre","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","22638.471872","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","50","Chypre","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","24962.780237","X","Sources internationales sûres","Data from UNSD AMA"
