Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","185","Fédération de Russie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","12272","","Donnée officielle"
"TA","Animaux vivants","67","Finlande","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","66","","Donnée officielle"
"TA","Animaux vivants","67","Finlande","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","3858","","Donnée officielle"
"TA","Animaux vivants","68","France","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","91065","","Donnée officielle"
"TA","Animaux vivants","68","France","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","102459","","Donnée officielle"
"TA","Animaux vivants","73","Géorgie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","2373","","Donnée officielle"
"TA","Animaux vivants","73","Géorgie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","2306","","Donnée officielle"
"TA","Animaux vivants","81","Ghana","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","8","","Donnée officielle"
"TA","Animaux vivants","81","Ghana","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","16","","Donnée officielle"
"TA","Animaux vivants","84","Grèce","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","2823","","Donnée officielle"
"TA","Animaux vivants","84","Grèce","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","3985","","Donnée officielle"
"TA","Animaux vivants","86","Grenade","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","3","*","Chiffre non officiel"
"TA","Animaux vivants","89","Guatemala","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","3151","","Donnée officielle"
"TA","Animaux vivants","89","Guatemala","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","3764","","Donnée officielle"
"TA","Animaux vivants","95","Honduras","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","1223","","Donnée officielle"
"TA","Animaux vivants","95","Honduras","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","392","","Donnée officielle"
"TA","Animaux vivants","97","Hongrie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","95186","","Donnée officielle"
"TA","Animaux vivants","97","Hongrie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","102100","","Donnée officielle"
"TA","Animaux vivants","100","Inde","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","50","","Donnée officielle"
"TA","Animaux vivants","100","Inde","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","237","","Donnée officielle"
"TA","Animaux vivants","101","Indonésie","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","7","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TA","Animaux vivants","101","Indonésie","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","63","","Donnée officielle"
"TA","Animaux vivants","102","Iran (République islamique d')","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","32068","","Donnée officielle"
"TA","Animaux vivants","102","Iran (République islamique d')","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","5500","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","103","Iraq","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","144","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","103","Iraq","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","11","*","Chiffre non officiel"
"TA","Animaux vivants","104","Irlande","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","37847","","Donnée officielle"
"TA","Animaux vivants","104","Irlande","5909","Exportations - Quantité","1057","Poulets","2018","2018","1000 têtes","46109","","Donnée officielle"
"TA","Animaux vivants","105","Israël","5909","Exportations - Quantité","1057","Poulets","2017","2017","1000 têtes","2","","Donnée officielle"
