Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","68","France","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","169977","","Donnée officielle"
"TA","Animaux vivants","68","France","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","220354","","Donnée officielle"
"TA","Animaux vivants","73","Géorgie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1176","","Donnée officielle"
"TA","Animaux vivants","73","Géorgie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","1128","","Donnée officielle"
"TA","Animaux vivants","81","Ghana","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","2","","Donnée officielle"
"TA","Animaux vivants","81","Ghana","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","5","","Donnée officielle"
"TA","Animaux vivants","84","Grèce","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","2355","","Donnée officielle"
"TA","Animaux vivants","84","Grèce","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","3603","","Donnée officielle"
"TA","Animaux vivants","86","Grenade","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","5","*","Chiffre non officiel"
"TA","Animaux vivants","89","Guatemala","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1793","","Donnée officielle"
"TA","Animaux vivants","89","Guatemala","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","2145","","Donnée officielle"
"TA","Animaux vivants","95","Honduras","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","722","","Donnée officielle"
"TA","Animaux vivants","95","Honduras","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","150","","Donnée officielle"
"TA","Animaux vivants","97","Hongrie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","76844","","Donnée officielle"
"TA","Animaux vivants","97","Hongrie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","95997","","Donnée officielle"
"TA","Animaux vivants","100","Inde","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","150","","Donnée officielle"
"TA","Animaux vivants","100","Inde","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","733","","Donnée officielle"
"TA","Animaux vivants","101","Indonésie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1","","Donnée officielle"
